,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN,RANGO_POB
3597,LORETO,REQUENA,EMILIO SAN MARTIN,SAN JUAN,-5.6136,-74.225787,14,60,100
3598,LORETO,REQUENA,MAQUIA,NUEVO CLAVERO,-5.803448,-74.687547,13,60,100
3599,LORETO,ALTO AMAZONAS,YURIMAGUAS,SANANGO,-5.946995,-76.061554,21,59,100
3600,LORETO,REQUENA,CAPELO,NUEVA BUENA VISTA,-5.364578,-74.15152,16,59,100
3601,LORETO,UCAYALI,CONTAMANA,SAN CARLOS,-7.566183,-75.02536,11,58,100
3602,LORETO,PUTUMAYO,PUTUMAYO,FLOR DE AGOSTO,-2.358267,-73.07326,14,58,100
3603,LORETO,MAYNAS,BELEN,NUEVA AMAZONIA,-3.628226,-73.140618,13,53,100
3604,LORETO,MAYNAS,BELEN,SAN MIGUEL,-3.769879,-73.188896,13,53,100
3605,LORETO,REQUENA,SAQUENA,TIBI PLAYA II ZONA,-4.643667,-73.548645,9,52,100
3606,LORETO,MAYNAS,BELEN,CABO PANTOJA,-3.663287,-73.124928,10,51,100
3607,LORETO,MARISCAL RAMON CASTILLA,PEBAS,NUEVO ORIENTE,-3.450963,-72.03404,11,51,100
3608,LORETO,MAYNAS,FERNANDO LORES,NUEVO AMAZONAS,-3.917995,-73.214832,14,49,100
3609,LORETO,MAYNAS,MAZAN,SEÑOR DE LOS MILAGROS,-3.49021,-73.09297,17,49,100
3610,LORETO,ALTO AMAZONAS,YURIMAGUAS,BOLOGNESI,-5.923829,-76.02771,14,49,100
3611,LORETO,MAYNAS,PUNCHANA,SAN FERNANDO,-3.695419,-73.267377,11,47,100
3612,LORETO,REQUENA,CAPELO,FLORIDA,-5.514498,-74.16015,11,47,100
3613,LORETO,REQUENA,PUINAHUA,NUEVO KUWAIT,-5.151,-74.16799,9,47,100
3614,LORETO,REQUENA,PUINAHUA,SAN MIGUEL,-5.42469,-74.379585,10,46,100
3615,LORETO,MAYNAS,LAS AMAZONAS,PUERTO LIBRE,-3.4945,-72.689977,10,45,100
3616,LORETO,MAYNAS,BELEN,PADRE ISLA I ZONA,-3.691834,-73.166362,9,45,100
3617,LORETO,LORETO,NAUTA,SANTA MARIA DE FATIMA,-4.357488,-73.438675,10,45,100
3618,LORETO,REQUENA,JENARO HERRERA,NUEVO SAN JUAN,-4.84707,-73.787225,12,44,100
3619,LORETO,ALTO AMAZONAS,YURIMAGUAS,SORRAPA,-5.869697,-76.108105,10,43,100
